Developer,Game,Released,Region,Platform,Delisted,Branch Script
Respawn Entertainment,Apex Legends: Season 6 [Boosted],2020-08-18,WW,Origin,,respawn.apex_legends
Respawn Entertainment,Apex Legends: Season 7 [Ascension],2020-11-04,WW,Origin;Steam,,respawn.apex_legends
Respawn Entertainment,Apex Legends: Season 8 [Mayhem],2021-02-02,WW,Origin;Steam,,respawn.apex_legends
Respawn Entertainment,Apex Legends: Season 9 [Legacy],2021-05-04,WW,Origin;Steam,,respawn.apex_legends
Respawn Entertainment,Apex Legends: Season 10 [Emergence],2021-08-03,WW,Origin;Steam,,respawn.apex_legends50
Respawn Entertainment,Apex Legends: Season 11 [Escape],2021-11-02,WW,Origin;Steam,,respawn.apex_legends50
Respawn Entertainment,Apex Legends: Season 12 [Defiance],2022-02-08,WW,Origin;Steam,,respawn.apex_legends50
Respawn Entertainment,Apex Legends: Season 13 [Saviours],2022-05-10,WW,Origin;Steam,,respawn.apex_legends51
Respawn Entertainment,Apex Legends: Season 14 [Hunted],2022-08-09,WW,Origin;Steam,,respawn.apex_legends51
Respawn Entertainment,Apex Legends: Season 15 [Eclipse],2022-11-01,WW,Origin;Steam,,respawn.apex_legends51
Respawn Entertainment,Apex Legends: Season 16 [Revelry],2023-02-14,WW,Origin;Steam,,respawn.apex_legends51
Respawn Entertainment,Apex Legends: Season 17 [Arsenal],2023-05-09,WW,Origin;Steam,,respawn.apex_legends51
Respawn Entertainment,Apex Legends: Season 18 [Resurrection],2023-08-08,WW,Origin;Steam,,respawn.apex_legends51
Respawn Entertainment,Apex Legends: Season 19 [Ignite],2023-10-31,WW,Origin;Steam,,respawn.apex_legends51
Respawn Entertainment,Apex Legends: Season 20 [Breakout],2024-02-13,WW,Origin;Steam,,respawn.apex_legends51
Respawn Entertainment,Apex Legends: Season 21 [Upheaval],2024-05-07,WW,Origin;Steam,,respawn.apex_legends52
Respawn Entertainment,Titanfall,2014-03-11,NA,Origin;XBOne,2021-03-01,respawn.titanfall
Respawn Entertainment,Titanfall,2014-03-11,NA,Xbox 360,2021-03-01,respawn.titanfall_x360
Respawn Entertainment,Titanfall,2020-11-21,WW,Steam,2021-03-01,respawn.titanfall
Respawn Entertainment,Titanfall (Beta),2014-02-15,WW,XBOne,2014-02-19,respawn.titanfall
Respawn Entertainment,Titanfall (Beta),2014-02-17,WW,Origin,2014-02-19,respawn.titanfall
Respawn Entertainment,Titanfall 2,2016-10-28,WW,Origin;PS4;XBOne,,respawn.titanfall2
Respawn Entertainment,Titanfall 2,2020-06-19,WW,Steam,,respawn.titanfall2
Respawn Entertainment,Titanfall 2 (Tech Test),2016-08-19,WW,Origin;PS4;XBOne,2016-08-22,respawn.titanfall2
Respawn Entertainment,Titanfall 2 (Tech Test),2016-08-26,WW,Origin;PS4;XBOne,2016-08-28,respawn.titanfall2
Rewolf Software,Gunman Chronicles,2000-11-20,NA,PC,,valve.goldsrc
Ritual Entertainment,American McGee's Alice,2000-12-06,NA,PC,,ritual.fakk2
Ritual Entertainment,Counter-Strike: Condition Zero,2004-03-23,WW,Steam,,valve.goldsrc
Ritual Entertainment,Counter-Strike: Condition Zero - Deleted Scenes,2004-03-23,WW,Steam,,valve.goldsrc
Ritual Entertainment,Heavy Metal F.A.K.K. 2,2000-08-04,NA,PC,,ritual.fakk2
Ritual Entertainment,SiN,1998-11-12,NA,PC,,ritual.sin
Ritual Entertainment,SiN Episodes: Emergence,2006-05-10,WW,Steam,,valve.source
Ritual Entertainment,SiN: Gold,1999-10-20,EU,PC,,ritual.sin
Ritual Entertainment,SiN: Gold,2014-01-30,WW,GOG,,ritual.sin
Ritual Entertainment,SiN: Gold,2020-03-18,WW,Steam;GOG,,ritual.sin
