LUMP,mp_airbase.bsp,mp_angel_city.bsp,mp_backwater.bsp,mp_boneyard.bsp,mp_colony.bsp,mp_corporate.bsp,mp_fracture.bsp,mp_harmony_mines.bsp,mp_haven.bsp,mp_lagoon.bsp,mp_nexus.bsp,mp_npe.bsp,mp_o2.bsp,mp_outpost_207.bsp,mp_overlook.bsp,mp_relic.bsp,mp_rise.bsp,mp_runoff.bsp,mp_sandtrap.bsp,mp_smugglers_cove.bsp,mp_swampland.bsp,mp_switchback.bsp,mp_training_ground.bsp,mp_wargames.bsp,mp_zone_18.bsp
ENTITIES,759561,389533,154580,196050,181196,686320,322474,374254,276956,395306,255745,299115,346714,446626,392511,397627,287662,311205,329490,235570,173951,223224,280173,455339,228489
PLANES,924304,791360,502768,2167792,619904,451728,572976,886576,208144,780864,525840,294144,1773168,1398256,1162544,776528,661264,187568,133104,460032,229392,76640,505248,281072,96288
TEXDATA,8892,15588,7416,6768,11124,8568,8784,10152,8640,7524,14688,6768,10548,9864,8640,10440,5292,8820,6696,12168,5976,7740,7308,11808,9324
VERTICES,3873096,7194156,4107324,5467416,1571364,6130128,7335768,4738020,6923820,6672792,4846908,4056732,9876624,5956812,4435368,7623096,8320320,8621772,3527436,4089852,5767584,4933752,5085708,2764524,2890968
MODELS,2240,2336,1984,2144,1312,4480,1856,1504,864,896,1504,4416,1600,2848,1344,2208,3648,1920,1536,1600,1024,1824,1632,992,1248
ENTITY_PARTITIONS,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
PHYSICSCOLLIDE,9966529,8439741,3214505,6246498,4787806,3970247,4312692,10490241,2680633,4180041,10299472,6085873,14374431,13689378,11714650,5827944,6364782,5244712,2859905,4650355,2773085,2223246,10652118,6184804,3747272
VERTEX_NORMALS,6035568,8807040,8149536,15324060,2529912,11166672,23767980,8867484,19397844,21005268,8376768,6223848,16676448,10334388,5504244,19843596,19856676,21209604,7390740,9636900,15463368,12234396,4935096,4043604,6350028
GAME_LUMP,1324288,1637720,1328792,864464,1508868,1487216,1988460,908316,1246360,1789096,3094764,556284,2679456,1242792,1916076,1796892,1698704,877484,849720,1024292,1761996,1461836,2069208,840088,2124328
LEAF_WATERDATA,0,12,0,0,0,12,0,12,12,12,0,0,0,0,0,0,12,12,0,12,24,12,12,0,0
PAKFILE,631800,759180,631549,610199,819533,798978,950423,538252,617367,860476,1281438,529821,1150192,745031,1072648,894569,850854,513953,500372,698669,748867,664093,969383,511639,865136
CUBEMAPS,16,16,16,16,16,16,16,16,16,16,16,16,16,16,32,16,16,16,16,16,16,16,16,16,16
TEXDATA_STRING_DATA,8611,15315,7569,6483,10921,8427,8563,10691,9114,7045,14169,6601,10330,9688,8638,10296,5446,9069,6893,12230,6010,7891,7158,11699,9174
TEXDATA_STRING_TABLE,988,1732,824,752,1236,952,976,1128,960,836,1632,752,1172,1096,960,1160,588,980,744,1352,664,860,812,1312,1036
WORLDLIGHTS,139500,67800,39400,34300,45400,125500,32100,113400,78300,55400,52900,68300,82400,92900,94600,69800,71500,92100,100600,53200,46700,59700,59300,117000,62400
TRICOLL_TRIS,1173000,2364576,1665264,2374192,391748,2248688,2632964,1606604,2486272,2531624,1434052,1507276,3517812,2334964,1206132,3255908,2766316,2369516,1408180,1682592,2818472,2027852,1222776,897940,1167800
TRICOLL_NODES,3129728,6318272,4443392,6329792,1043904,6002176,7026880,4287616,6633216,6744960,3823744,4017792,9383104,6228480,3212544,8688960,7383360,6310592,3744256,4488448,7513152,5401088,3255616,2397440,3115584
TRICOLL_HEADERS,114664,255464,239360,99088,28908,171644,211376,100584,230604,187308,98824,183700,218944,131692,146784,166100,228756,335324,331980,175560,163724,195360,251240,138028,171732
PHYSICS_TRIANGLES,942693,1414872,703952,962386,208943,1685160,1173696,812652,1197950,875051,811106,785031,2741315,1192265,953068,1415144,1528883,1362544,941469,1062857,1285884,863553,719923,1079470,491732
VERTS_UNLIT,90180,54200,60520,136400,51740,128500,109120,202260,833520,45720,34280,838420,109900,105300,216820,80900,114960,103160,92280,42940,140080,60940,41760,252180,65700
VERTS_LIT_FLAT,0,396,0,0,0,144,0,144,288,1440,0,0,0,0,0,0,900,0,0,1836,2772,2304,288,0,0
VERTS_LIT_BUMP,21826068,49511176,22656216,30595092,12132252,33092312,45021680,29452632,38638028,40434504,34431892,21348800,51152552,31156356,27722728,40122060,49130180,54851324,19494992,24408032,25649668,28772128,34687928,14001064,15684460
VERTS_UNLIT_TS,1288,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
