LUMP,ar_baggage.bsp,ar_dizzy.bsp,ar_lunacy.bsp,ar_monastery.bsp,ar_shoots.bsp,coop_autumn.bsp,coop_kasbah.bsp,cs_agency.bsp,cs_apollo.bsp,cs_assault.bsp,cs_italy.bsp,cs_militia.bsp,cs_office.bsp,de_ancient.bsp,de_anubis.bsp,de_bank.bsp,de_cache.bsp,de_canals.bsp,de_cbble.bsp,de_dust2.bsp,de_elysion.bsp,de_engage.bsp,de_guard.bsp,de_inferno.bsp,de_lake.bsp,de_mirage.bsp,de_nuke.bsp,de_overpass.bsp,de_safehouse.bsp,de_shortdust.bsp,de_shortnuke.bsp,de_stmarc.bsp,de_sugarcane.bsp,de_train.bsp,de_vertigo.bsp,dz_blacksite.bsp,dz_frostbite.bsp,dz_sirocco.bsp,gd_cbble.bsp,lobby_mapveto.bsp,training1.bsp
ENTITIES,82293,27143,10655,72179,93112,609131,975911,466758,745089,439245,154958,267046,272940,58812,86897,129078,370620,80185,72180,106613,170297,381618,83122,199180,121640,178669,344739,228743,96280,156067,141806,62264,60543,376686,302354,478654,1029210,379501,68341,94125,741434
PLANES,78120,55600,324120,275720,225120,457040,990120,118640,417480,295920,270920,459320,264520,354560,540080,81080,610240,486200,670440,418520,228960,312080,320360,444640,123800,467720,263640,771080,884520,584400,124360,136720,151960,468360,236080,789360,1082280,1282960,673520,68720,249760
TEXDATA,4256,3328,2816,2560,864,9280,9824,17440,18336,16544,7168,8384,12064,4128,5568,6624,8768,21056,7264,3840,2112,18720,18400,7584,3456,7904,5696,18176,3680,8992,3616,5152,6368,27456,9760,9440,18464,6880,7328,1728,5568
VERTICES,139452,74496,87216,213216,109728,325644,534516,152220,384660,267192,300840,313392,308256,216660,256464,92724,589680,319536,308436,250440,232632,225072,291312,312924,114912,465792,354000,453324,260436,333132,189996,96900,176448,466476,202092,513204,667836,510300,309420,78204,252900
VISIBILITY,122680,20504,7367,3969,21389,279731,4244005,196504,1716252,366827,707968,251871,446441,821516,3497720,101135,1089143,521801,134012,638374,540469,340853,250217,1256747,8344,784084,1034473,1257560,229937,242354,64286,81399,276028,1305726,370303,7025023,376875,197702,138773,15696,58336
NODES,45056,28352,13440,53344,20256,189280,482048,124224,247200,141728,124640,119712,141600,164192,210080,62080,284576,144800,109664,109888,272544,149888,77312,170240,97984,164416,218592,189056,56576,85760,90496,36160,60928,246304,149760,396864,452256,223776,108736,40992,91872
TEXINFO,129312,91944,115272,190080,115992,412272,675864,200232,427752,335448,234648,518832,277704,179424,261648,90936,884520,353376,492624,169632,186192,187272,364752,419760,92520,748800,349920,676656,105192,418392,194472,139824,208152,694368,208440,637272,718776,582192,497016,84240,405216
FACES,325136,197512,225568,419384,279888,745920,1296232,387856,863016,591136,678328,757848,631792,284704,518952,221032,1316896,736848,793184,551600,620312,368424,665560,625464,311472,1006768,686896,995624,203616,663488,371784,211680,389816,1000272,489664,1185968,1284640,1184400,797496,175392,580160
LIGHTING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9822576,11250788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCCLUSION,524,12,12,12,12,12,12,12,12,1216,12,12,12,1456,12,12,1576,2408,1516,1388,12,12,12,12,12,12,712,12,12,12,12,1452,316,936,204,12,12,12,1516,12,12
