LUMP,aim_dust.bsp,awp_metro.bsp,awp_museum.bsp,bigcity_main.bsp,bigcity_pvp.bsp,campaign_05.bsp,cs_aquarium.bsp,cs_assault.bsp,cs_estate.bsp,cs_italy.bsp,cs_italy_night.bsp,cs_militia.bsp,cs_office.bsp,cs_office_xmas.bsp,de_aztec.bsp,de_cbble.bsp,de_centered.bsp,de_cornerwork.bsp,de_cornerwork2.bsp,de_dust.bsp,de_dust2.bsp,de_dust2_decompressed.bsp,de_headquarter.bsp,de_highland.bsp,de_inferno.bsp,de_nuke.bsp,de_prodigy.bsp,de_sa02.bsp,de_sa03.bsp,de_storage.bsp,de_storm.bsp,de_survivor.bsp,de_tides.bsp,de_tosca.bsp,de_train.bsp,de_vantage.bsp,de_vertigo.bsp,dm_cargoship.bsp,dm_dustrush.bsp,dm_killhouse.bsp,dm_mboss.bsp,dm_playground.bsp,dm_sa01.bsp,dm_sewer.bsp,dm_shutdown.bsp,dm_uprising.bsp,duel_diner.bsp,ew_lasttrain.bsp,gb_varena.bsp,gm_giant.bsp,hm_multi01.bsp,hs2_assault.bsp,hs2_cargoship.bsp,hs2_estate.bsp,hs2_italy2.bsp,hs2_italy2_xmas.bsp,hs2_office.bsp,hs2_phouse.bsp,hs2_sa01.bsp,hs2_sa02.bsp,hs2_sa03.bsp,hs2_studio.bsp,hs_aqua.bsp,hs_dust2.bsp,hs_festival.bsp,hs_highland.bsp,hs_italy2.bsp,hs_italy2_xmas.bsp,hs_studio.bsp,mad_city.bsp,mad_city_big.bsp,testzone_transition1.bsp,testzone_transition2.bsp,tuto_walk.bsp,uc_aztec.bsp,uc_museum.bsp,uc_shutdown.bsp,zc_laboratory.bsp,zc_trainyard.bsp,zd_aztec.bsp,zd_boss.bsp,zd_internal.bsp,zd_italy.bsp,zd_lasttrain.bsp,zd_nuke.bsp,zd_park.bsp,zd_trainyard.bsp,zp_assault.bsp,zp_aztec.bsp,zp_estate.bsp,zp_italy.bsp,zp_militia.bsp,zp_storm.bsp,zp_uprising.bsp,zz_festival.bsp,zz_phouse.bsp,zz_prodigy.bsp
LEAVES,11353,10840,31294,119498,137615,26917,14083,33337,23520,37800,44253,24068,25049,26132,54131,46459,46951,22715,14945,36645,79810,765408,11374,11210,38688,24267,24873,6523,72728,23444,10275,18714,14642,30831,24532,24379,23159,11594,11307,4721,2251,27883,9637,7658,30479,14439,37542,18854,15220,65578,40589,26411,34761,40315,38154,29857,19888,23059,88452,28104,13316,43303,14453,10872,36122,23330,55002,55836,90904,17825,18998,26037,7906,8577,7999,34341,45996,66070,12419,29727,21131,25599,33435,75062,59701,54271,22770,41492,32254,31336,12090,15353,23870
FACEIDS,5223,11961,18126,77748,101601,16817,9725,10745,16272,22689,22175,9823,15980,15824,13261,17087,20109,12735,12536,19699,29964,44804,23511,14306,25883,12393,10558,4361,14330,26693,10384,19395,11192,22191,14405,21290,24282,13701,5767,5775,4751,9150,2565,6803,10780,9416,10013,5861,15380,55429,21256,24127,28082,25117,25759,24268,12786,15330,26908,21647,7277,16857,8289,12938,15743,13887,10670,51106,60272,12906,6625,18462,3026,4529,5094,21339,22477,15533,3657,8293,18957,7758,13834,41114,22663,12861,16510,21629,11648,10813,7746,13606,10710
EDGES,21251,72183,109836,432614,605920,100143,55911,65837,96546,120154,117411,54435,77999,78337,74072,114004,114816,76349,82141,92078,147199,839224,175971,76948,139434,67578,54513,26030,76035,176066,66543,131861,66472,131383,84799,128670,135562,95849,25049,32444,36362,54446,18394,38520,59427,52703,58162,24600,100206,312485,129552,160238,164419,138449,141602,142009,79145,92481,147144,127425,37947,82061,48498,75631,80626,75429,69754,303967,326268,78919,37716,107365,17548,27507,35351,116333,122635,83912,20866,47552,96796,41204,81582,227001,146675,74074,97212,114194,70211,58962,45631,78185,55738
SURFEDGES,30183,79569,128274,465367,646872,103423,58149,66910,108218,132449,130814,61631,82420,82497,88878,113238,143206,85719,84791,108936,185199,687608,174860,99706,155742,73698,59294,27748,81666,179852,65502,137372,69348,146198,83500,149473,155769,88697,32117,38566,39429,69031,19125,40326,70834,58932,72255,42797,117418,363190,144353,175356,187933,159688,163968,160328,94178,107057,165840,147304,44526,99544,56194,92139,91480,84931,78714,318058,384807,101502,49079,117955,20856,29433,35713,127978,145774,102808,28219,64388,117422,51121,89707,277082,164912,88936,109166,126094,79411,71527,51478,81255,60462
MODELS,328,255,730,5379,4789,1987,965,649,894,1403,1400,930,808,972,5662,916,777,138,138,1582,2427,12624,528,164,1290,1451,835,208,3043,1005,192,731,300,879,476,1064,1161,143,567,110,311,1806,253,220,2251,470,3046,1139,253,1814,1161,1307,1370,1413,991,833,682,709,3476,1211,899,1385,807,247,859,465,682,854,543,821,1811,1904,396,491,157,2489,2299,7122,1320,3628,458,1655,2951,5359,3917,5655,699,1192,847,2206,651,303,779
WORLD_LIGHTS,516,0,0,0,4222,0,0,0,0,0,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,0,0,0,0,1140,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,1598,0,284,377,1060,15226,2332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEAF_FACES,3351,11391,22052,77044,107194,13015,7945,13621,18131,19481,19936,8035,11211,11217,13009,23304,22945,11606,11315,13948,21706,94040,21546,14109,23498,10576,8248,3865,9272,20381,10479,18574,11131,23409,12460,21684,20923,14937,3352,5370,3558,10606,3339,6348,10628,7995,9744,5710,21651,47366,20743,20279,25445,20025,21718,19331,10939,13078,20044,19024,5985,12144,8407,14615,13305,13057,19370,54261,57255,11197,7178,15021,2567,3967,6401,15389,21247,14864,3156,8002,17087,7198,12475,40170,24762,13174,18406,18273,11026,10429,7956,11395,8481
LEAF_BRUSHES,1472,5507,11144,33463,45310,7018,5017,9844,9972,12226,11798,6296,7768,7843,8252,17280,15054,5762,5237,9634,14364,58676,8492,5881,12546,7234,6461,2011,9256,9315,6249,9139,7642,13209,9648,10030,10243,8624,1735,2788,1508,5418,3024,4119,5160,5213,6058,1800,9105,22832,10715,8009,10890,9394,9847,8078,3961,5242,12597,8207,3620,7890,4000,6438,7351,6879,21187,22663,24689,4139,3703,7233,1288,2229,4040,9658,10514,9478,1876,4391,8360,3859,8210,18653,13617,8367,9894,11453,6593,5191,3752,5865,6468
BRUSHES,2106,3413,4740,19258,24869,4156,3844,3452,3782,6930,6593,3152,4343,4354,4143,6033,4762,3199,2991,5668,7293,73284,5412,3584,7421,4032,3655,998,8399,5617,3664,5436,4201,6781,4527,6102,6998,4141,2283,1306,1547,4166,1009,1826,2571,2756,3915,1384,4042,14029,5831,6173,6043,6485,6448,5138,3138,3536,11016,5439,2914,4117,2242,3733,4042,4083,2837,12184,10936,3423,2602,4026,1064,1797,1628,5842,6188,4773,1695,3796,5655,2391,4380,10565,6386,4114,3706,6569,3061,2496,1985,2898,3740
BRUSH_SIDES,15648,26400,37152,172542,240542,33934,30628,27613,36315,66568,63262,25829,37355,37776,39700,51754,43032,27202,22763,45760,77885,612480,44379,35579,69021,34001,31755,9103,73146,47223,29576,46202,41788,67950,35595,62163,51099,32807,16648,12220,17003,41058,6230,12821,25294,21603,32355,8345,38788,144156,47348,51765,56479,55048,55343,44299,25371,29758,95568,46361,22778,43245,19187,36957,33148,33926,25265,100804,87202,32007,24340,36949,8559,9821,10671,51551,56283,47484,14028,33091,54646,19412,36721,96122,54960,39687,35816,62529,24735,24594,16978,25328,32444
