LUMP,cs_assault.bsp,cs_compound.bsp,cs_havana.bsp,cs_italy.bsp,cs_militia.bsp,cs_office.bsp,de_aztec.bsp,de_cbble.bsp,de_chateau.bsp,de_dust.bsp,de_dust2.bsp,de_inferno.bsp,de_nuke.bsp,de_piranesi.bsp,de_port.bsp,de_prodigy.bsp,de_tides.bsp,de_train.bsp,test_hardware.bsp,test_speakers.bsp
ENTITIES,177456,82460,170893,124399,177239,258402,45292,77882,123152,181740,98863,213656,237423,82632,103952,220726,115528,181445,44042,21027
PLANES,160960,121600,125360,112680,294320,96160,169160,188640,310400,159000,245120,333840,174000,209200,99480,166120,211960,110840,74360,6920
TEXDATA,11488,5120,9248,8512,6464,11264,7552,4736,20448,4448,4192,10464,10944,18880,5984,5664,2336,5280,2336,1024
VERTICES,268500,100884,197160,201960,215676,183156,194604,261504,309012,153804,163536,250764,218436,271152,117504,194652,259056,167328,55644,7332
VISIBILITY,2010986,281846,501499,648074,529683,375457,772769,756725,495366,478375,611341,1272171,514685,853163,488453,389506,335372,241086,39603,1724
NODES,173120,71968,151424,168448,98144,138016,145024,208736,166240,121728,133952,180672,136192,249376,121120,162304,122176,90016,29824,5632
TEXINFO,454392,142128,382320,242568,204048,494064,320472,175176,492696,188712,182664,378360,221904,262152,130752,469872,557424,201888,69120,16560
FACES,424312,232456,420168,440384,351792,363048,377272,501424,829416,355712,348880,644392,433272,646016,313768,408184,473480,352408,153888,13888
LIGHTING,2047660,2043828,2143896,3366440,3112348,2442772,3044716,4060292,2045956,3211004,3349664,1670580,2333932,2726892,2836404,1783388,1450808,1600936,8547516,80544
OCCLUSION,1832,2440,12,12,12,12,292,12,12,12,12,12,12,12,2080,12,12,12,12,12
LEAVES,304248,127680,270144,298984,99744,243264,255192,370552,295512,122208,134496,181792,139200,443744,214536,287168,214480,91072,53424,10304
FACEIDS,0,0,0,0,0,0,0,0,0,12704,12460,23014,0,0,0,0,0,0,0,0
EDGES,155144,78272,136676,132400,136820,122488,124132,165684,281076,124820,114372,229704,150440,190664,95228,131076,162420,123556,45252,4116
SURFEDGES,233672,125908,219184,222000,209364,196524,195932,265552,467792,196192,184664,360044,231232,320060,158368,215224,262224,192004,78600,6904
MODELS,1056,1440,4368,3552,2352,1440,1152,4464,3888,672,768,1632,4464,6240,2160,2640,528,1536,1008,336
WORLD_LIGHTS,5896,1848,7128,8184,5280,11352,4048,8624,9064,2552,2376,4224,12496,9944,10032,12672,6512,10032,4136,1848
LEAF_FACES,27302,11642,17878,19200,15868,14682,19236,21820,36590,16964,16538,33348,19966,26696,14716,17342,21776,17394,6512,620
LEAF_BRUSHES,22998,7374,12478,12406,13774,11314,29750,17750,19956,20068,26556,29398,17048,22322,9122,13118,15454,11850,2798,420
BRUSHES,30312,13884,30084,27960,25932,34476,22848,36132,50772,29232,26208,62256,38088,43500,15660,32256,34296,31020,5916,948
BRUSH_SIDES,136080,76312,131376,126472,141016,149464,112152,177312,263792,141952,140344,300784,178128,218456,78088,157544,174112,132120,32800,4048
AREAS,96,40,152,88,48,24,88,24,160,56,64,80,48,128,48,24,24,72,16,16
AREA_PORTALS,324,132,900,396,324,12,444,12,900,204,204,372,372,708,204,108,12,300,12,12
DISP_INFO,16896,3696,36256,0,124432,13200,49808,2640,30096,11968,12144,19888,3696,10208,9856,9504,38368,14960,31504,0
ORIGINAL_FACES,284424,154616,283248,263872,280784,243432,236432,327432,635320,267736,235256,507640,285488,395136,186648,266000,361088,243320,92232,8400
PHYS_DISP,0,0,0,0,0,0,0,0,0,0,20893,22133,0,0,0,0,0,0,0,0
PHYS_COLLIDE,1127510,605805,1278562,893411,2412436,1302741,2215318,1218651,2104247,1596836,829160,1824651,1226377,1685190,618358,1142553,1604982,988828,584166,29127
VERT_NORMALS,8808,9840,7812,10284,10116,3432,23232,18000,38352,16416,18180,30084,12684,23988,7308,23916,18468,3360,7512,492
VERT_NORMAL_INDICES,76194,40770,69362,73456,64416,63482,64146,85798,143148,60106,58986,108788,74966,105200,52404,69648,79614,61220,26046,2244
DISP_LIGHTMAP_ALPHAS,6602,38831,9599,0,0,146812,117476,16965,46306,0,0,0,0,31120,62280,24300,19549,0,85345,0
DISP_VERTS,60320,34020,111960,0,368060,54300,310780,10860,116540,89680,101700,64340,11620,79080,33600,37080,110120,178980,94780,0
DISP_LIGHTMAP_SAMPLE_POSITIONS,26408,155324,38396,0,1522928,587248,479992,67860,187307,226810,595380,201008,93576,129248,249120,97200,78196,65324,341622,0
GAME_LUMP,59960,835206,31814,35656,666116,27372,9768,20952,21748,26962,29620,66112,70378,36506,140288,38486,26244,63808,8456,1158
LEAF_WATER_DATA,0,0,0,0,36,0,12,0,12,0,0,24,24,12,24,0,0,0,24,0
PRIMITIVES,11150,4260,7190,5100,15180,8380,8050,6980,14450,6400,6860,11300,10350,7060,5380,5800,10350,6960,2730,180
PRIM_INDICES,42576,15630,22218,17046,70332,32010,27240,27408,53628,23700,23568,42282,38514,22326,18996,20778,37866,25122,9594,486
PAKFILE,471290,789131,596878,352300,4579724,263100,459719,277299,606439,3646953,3649539,3756781,3661675,522711,459702,269492,234869,3631274,144019,15784
CLIP_PORTAL_VERTICES,1440,480,3720,2496,1248,0,2376,0,3816,1248,1320,1440,1440,7080,792,384,0,1152,0,0
CUBEMAPS,944,576,1760,976,864,448,896,752,1328,592,592,704,656,624,1312,496,432,688,272,16
TEXDATA_STRING_DATA,14004,5751,8143,7922,5561,15410,9304,5443,29425,2923,2785,10386,11917,29380,6125,6486,2077,5864,2627,750
TEXDATA_STRING_TABLE,1556,676,1212,1104,808,1592,968,612,2712,556,524,1308,1368,2564,748,772,316,660,320,136
OVERLAYS,127072,27808,11968,352,77792,704,704,3872,0,29920,19360,89056,106304,0,90816,3520,10208,89408,0,13728
LEAF_MIN_DIST_TO_WATER,10866,4560,9648,10678,6234,8688,9114,13234,10554,7638,8406,11362,8700,15848,7662,10256,7660,5692,1908,368
FACE_MARCO_TEXTURE_INFO,15154,8302,15006,15728,12564,12966,13474,17908,29622,12704,12460,23014,15474,23072,11206,14578,16910,12586,5496,496
DISP_TRIS,8256,5376,14720,0,47744,7680,48064,1536,16320,13952,15936,8576,1536,12352,4544,5184,14144,29440,12416,0
PHYS_COLLIDE_SURFACE,1759233,1014279,2394610,893411,5997433,1888968,5878939,1335709,3347262,0,0,0,1341916,2627937,962519,1538021,2687246,0,0,29127
LEAF_AMBIENT_INDEX_HDR,0,0,0,0,0,0,0,0,0,15276,16812,22724,0,0,0,0,0,0,0,0
LEAF_AMBIENT_INDEX,0,0,0,0,0,0,0,0,0,15276,16812,22724,0,0,0,0,0,0,0,0
LIGHTING_HDR,0,0,0,0,3112348,0,0,0,0,3211004,3349664,1670580,2333932,0,0,0,0,1600936,0,0
WORLD_LIGHTS_HDR,0,0,0,0,5280,0,0,0,0,2552,2376,4224,12496,0,0,0,0,10032,0,0
